Year,Sport,Discipline,Medal,Country,Author,AuthorId
1936,ART,mixed-painting-paintings,Bronze,JPN,Tsuguharu-LÃ©onard Fujita,tsuguharu-leonard-fujita-1
1932,ART,mixed-painting-paintings,Gold,SWE,David Wallin,david-wallin-1
1932,ART,mixed-painting-paintings,Silver,USA,Ruth Miller,ruth-miller-1
1928,ART,mixed-painting-paintings,Gold,NED,Isaac IsraÃ«ls,isaac-israels-1
1928,ART,mixed-painting-paintings,Silver,GBR,Laura Knight,laura-knight-1
1928,ART,mixed-painting-paintings,Bronze,GER,Walther Klemm,walther-klemm-1
1924,ART,mixed-painting,Gold,LUX,Jean Jacoby,jean-jacoby-1
1924,ART,mixed-painting,Silver,IRL,Jack Yeats,jack-yeats-1
1924,ART,mixed-painting,Bronze,NED,Johan van Hell,johan-van-hell-1
1920,ART,mixed-painting,Silver,FRA,Henriette Brossin de MÃ¨re-de Polanska,henriette-brossin-de-mere-de-polanska-1
1920,ART,mixed-painting,Bronze,BEL,Alfred Ost,alfred-ost-1
1912,ART,mixed-painting,Gold,ITA,Carlo Pellegrini,carlo-pellegrini-1
1948,ART,mixed-sculpturing-medals-and-plaques,Silver,AUT,Oskar Thiede,oskar-thiede-1
1948,ART,mixed-sculpturing-medals-and-plaques,Bronze,AUT,Edwin Grienauer,edwin-grienauer-1
1932,ART,mixed-sculpturing-medals-and-reliefs,Gold,POL,JÃ³zef Klukowski,jozef-klukowski-2
1932,ART,mixed-sculpturing-medals-and-reliefs,Silver,USA,Frederick MacMonnies,frederick-macmonnies-1
1932,ART,mixed-sculpturing-medals-and-reliefs,Bronze,CAN,Tait McKenzie,tait-mckenzie-1
1928,ART,mixed-sculpturing-medals-and-reliefs,Gold,AUT,Edwin Grienauer,edwin-grienauer-1
1928,ART,mixed-sculpturing-medals-and-reliefs,Silver,NED,Chris van der Hoef,chris-van-der-hoef-1
1928,ART,mixed-sculpturing-medals-and-reliefs,Bronze,GER,Edwin Scharff,edwin-scharff-1
1936,ART,mixed-sculpturing-medals,Silver,ITA,Luciano Mercante,luciano-mercante-1
1936,ART,mixed-sculpturing-medals,Bronze,BEL,JozuÃ« Dupon,jozue-dupon-1
